ADAS,MMSE,NEUROBAT,ADAS_DESCRIPTION,MMSE_DESCRIPTION,NEUROBAT_DESCRIPTION,ADAS_SIGN,MMSE_SIGN,NEUROBAT_SIGN,ADAS_CATE,MMSE_CATE,NEUROBAT_CATE
Q1SCORE,MMDATE,ANARTERR,ADAS: Word Recall,MMSE: Orientation to time,AMNART,PLUS,MINUS,PLUS,MEM,NONE,NONE
Q2SCORE,MMYEAR,BNTSPONT,ADAS: Commands,MMSE: Orientation to place,BNT: without cue,PLUS,MINUS,MINUS,NONE,NONE,NONE
Q3SCORE,MMMONTH,BNTCSTIM,ADAS: Construction,MMSE: Immediate Recall,BNT: semantic cue,PLUS,MINUS,MINUS,NONE,MEM,NONE
Q4SCORE,MMDAY,BNTCPHON,ADAS: Delayed Word Recall,MMSE: Attention,BNT: phonemic cue,PLUS,MINUS,MINUS,MEM,EF,NONE
Q5SCORE,MMSEASON,CATVEGESC,ADAS: Naming,MMSE: Delayed Recall,CFT: vegetable,PLUS,MINUS,MINUS,NONE,MEM,EF
Q6SCORE,MMHOSPIT,CATANIMSC,ADAS: Ideational Praxis,MMSE: Language,CFT: animal,PLUS,MINUS,MINUS,EF,NONE,EF
Q7SCORE,MMFLOOR,CLOCKSCOR,ADAS: Orientation,MMSE: Repetition,Clock Drawing Test,PLUS,MINUS,MINUS,NONE,EF,EF
Q8SCORE,MMCITY,COPYSCOR,ADAS: Word Recognition,MMSE: Complex commands,Clock Copying Test,PLUS,MINUS,MINUS,MEM,NONE,EF
Q9SCORE,MMAREA,LIMMTOTAL,ADAS: Recall Instructions,,LM: Immediate Recall,PLUS,,MINUS,MEM,,MEM
Q10SCORE,MMSTATE,LDELTOTAL,ADAS: Spoken Language,,LM: Delayed Recall,PLUS,,MINUS,NONE,,MEM
Q11SCORE,MMBALL,AVTOT6,ADAS: Word Finding,,RAVLT: Trial 6,PLUS,,MINUS,NONE,,MEM
Q12SCORE,MMFLAG,AVDEL30MIN,ADAS: Comprehension ,,RAVLT: 30 min delay,PLUS,,MINUS,NONE,,MEM
Q13SCORE,MMTREE,AVDELTOT,ADAS: Number Cancellation,,RAVLT: recognition,PLUS,,MINUS,EF,,MEM
,MMD,TRAASCOR,,,TMT: Part A ,,,PLUS,,,EF
,MML,TRABSCOR,,,TMT: Part B,,,PLUS,,,EF
,MMR,,,,,,,,,,
,MMO,,,,,,,,,,
,MMW,,,,,,,,,,
,MMBALLDL,,,,,,,,,,
,MMFLAGDL,,,,,,,,,,
,MMTREEDL,,,,,,,,,,
,MMWATCH,,,,,,,,,,
,MMPENCIL,,,,,,,,,,
,MMREPEAT,,,,,,,,,,
,MMHAND,,,,,,,,,,
,MMFOLD,,,,,,,,,,
,MMONFLR,,,,,,,,,,
,MMREAD,,,,,,,,,,
,MMWRITE,,,,,,,,,,
,MMDRAW,,,,,,,,,,
