//Akitsuki,2009: self+other pain > self 
-32	20	50
28	18	52
-2	60	32
0	60	18
-2	66	4
2	54	-8
-42	32	-14
0	-60	58
16	-94	28
-12	-80	-10
-8	-78	-8
-42	-74	10
48	-76	2
48	-70	12
62	-42	12
58	-2	-24
54	8	-24
-20	-6	-26
28	-4	-24
-36	6	-9
44	14	-12
8	-78	-24
0	-32	-22

//Avram,2013: Moral vs. Aesthetic Judgment
-6	47	21
-6	47	16
3	-43	28
-1	-62	41
-33	20	52
-45	-64	34
-48	-52	22
-3	-64	19

//Bahneman,2010: Moral vs Physical Norm Judgment
-2	50	-14
-44	10	46
-46	36	-12
-8	48	36
2	-56	30
-56	-14	-16
54	6	-28
-58	-38	-4
62	-38	-2
-54	-64	28
58	-64	32

//Basile,2011: Guilt (deontological and altruistic) vs. Control Emotions (anger and sadness) 
0	50	-2
-12	40	12
-4	-52	40

//Berhotz,2002: Intentional Violation of Social Norms vs Normal Social Behaviors 
-12	58	8
-8	52	18
10	54	24
-10	-18	66
-44	6	44
6	36	54
-6	32	54
-6	14	60
-52	32	2
-36	28	-22
-50	-44	6
56	8	-28
-52	8	-38
-8	-98	8
-20	-82	-10
18	-98	10
-34	-74	-16
-6	-28	-20

//Borg,2006: Nonmoral vs Moral 
-12	51	-9
-15	72	-6
-6	-72	-3
51	-75	9
-54	-72	6
-63	-51	21
-42	48	30

//Borg,2008: Pathogen,incest,nonsexual moral vs Neutral
-9	54	36
-6	54	-15
-45	9	54
63	-9	42
-42	-6	60
-36	-12	51
-48	12	-42
-42	32	-14
48	12	-42
-69	-36	0
-60	-12	-12
66	-9	-6
54	-12	54
51	-18	60
-21	-57	72
-6	-51	33
9	-87	0
-13	-84	0
-3	-12	39
21	0	-12
-15	-30	-3
-6	0	12
24	-3	-15
-24	-5	-15

//Borg,2011: Controversial+Noncontroversial Moral-Wrong vs. Nonmoral-Not-Wrong Judgments
-3	30	51
0 	51	30
-6	45	21
-18	57	36
18	54	42
-12	63	21
-39	12	54
51	9	51
-39	12	30
-33	18	-9
39	27	0
-45	42	-9
33	45	-18
-45	24	-18
48	18	-15
48	9	-39
-48	-9	-21
-57	-42	0
-51	-54	21
54	-66	36
-51	-75	21
-42	-69	51
-6	-78	-6
-9	-87	9
-36	-90	18
45	-87	0
-45	-52	-21
-30	-39	-21
-24	-21	-15
33	-15	-12
-15	6	-6
12	3	18
-9	-18	-18
12	-21	-18
-3	-30	-18
3	-18	-30

//Chiong,2013: moral personal>nonmoral dilemmas
50	-60	26
0	-78	42
8	60	-4

//Decety,2011: hurt > help (first+third person)
-14	42	46
-52	36	10
2	-80	0
-38	-68	28
-38	22	26
6	-32	-8
10	-20	18
-6	-18	18
34	36	-10
-32	40	-10

//FeldmannHall,2012: Real Moral Decision vs. Imagined Moral Decision
-44	-74	0
46	-68	2
54	22	6
46	-18	62
-30	10	-18
26	10	-18
16	40	26
10	-12	10
28	32	-8

//FeldmannHall,2013: Difficult Moral Dilemmas vs. Difficult Nonmoral Dilemmas
56	-2	-14
56	-52	14
-40	-58	16
50	-16	-14
-64	-56	10
-54	-6	46

//Finger,2006: Moral transgressions vs. Social transgressions and neutral
74	2	-21
-61	12	-4
-71	-50	-11
-1	71	35
-10	-3	70

//Harada,2009: Social Norm Judgment vs Gender Judgment 
-8	44	46
-48	16	-34
-50	16	16
-52	26	-10
-46	6	50
-36	24	44
-56	-42	0
32	-86	-36
14	8	0

//Harenski,2006: Moral vs. Baseline (Odd,Even)
63	27	9
-21	-6	-15
-12	39	54
-9	30	63
9	57	18
9	69	21
30	-45	-12

//Harenski,2008: Moral vs. Nonmoral Picture Viewing
12	45	-12
-6	-54	9
12	-48	3
-51	-72	24
54	-66	33
21	-33	-18
-24	36	51
-12	-72	60
-21	6	69
0	-12	-15

//Harenski,2010: Moral vs. Nonmoral (moral intuition_implicit)
-45	-72	24
-45	-72	24
48	-78	27
9	-54	9
-27	-45	-15
-15	-36	-12
-63	-39	-9
-54	-75	6
-48	12	39

//Harrison,2008: Moral vs. Rest (moral dilemma) 
15	19	49
2	29	31
-2	-57	25
-42	-66	28
-18	25	44

//Hayashi,2010: dishonest vs. honest
4	24	-10

//Heekeren,2003: Moral Judgment vs. Semantic Judgment 
6	61	27
1	55	2
-8	45	22
-42	34	-6
-49	-59	21
-49	18	-20
45	9	-17
-53	-16	-8
7	-78	14

//Heekeren,2005: Moral Decision vs. Semantic Decision
55	7	-24
-54	5	-26
-6	54	-14
4	55	-8
6	-50	26
3	58	12
-56	-62	18
58	-60	22

//Immordino-Yang, 2009: Admiration for virtue > control 
-27	20	7
39	5	4
-3	20	25
6	17	31
-3	-43	25
0	-61	31
-51	-61	28
0	-4	1
0	-19	-8
-3	-31	-38

//Kedia,2008: Emotional (Moral) vs. Neutral 
