//Avila, 2006: Hometown-Walking task > odd number counting
9	12	48
24	-1	55
-27	-10	54
22	-29	-8
-20	-34	-7
9	-49	11
-6	-49	9
27	-24	-9
-26	-24	-6
11	-24	14
-10	-22	10

//Hartley, 2003: wayfinding - following trails
-9	60	30
-6	39	48
-54	-21	-15
-36	-9	-39
-30	-18	-15
6	-66	33
-51	-48	30
48	-45	15

//Iaria, 2007: retrieval vs. control
-16	-58	20
-24	-38	-12
-26	-10	48
-6	8	56
-34	38	12
-30	28	32
-16	20	32
-32	-38	40
-16	-78	-8
-2	-14	-18
-4	-72	-18
16	-54	14
24	-38	-6
24	-36	-2
34	30	30
28	30	2
36	-64	46
8	-18	20
6	-68	-22

//Jordan, 2003: navigation vs control
0	-72	-32
12	-76	56
12	-88	40
-28	-16	64
-44	-20	60
32	-12	60
24	-12	68
-48	-8	40
36	-56	52
4	-8	68
52	0	36
56	8	32
4	-24	0
28	-24	-16
-24	-24	-16

//Kumaran, 2005: spatial relational task > social relational task
30	-36	-3
-33	-42	-6
27	-33	-15
-30	-39	-9
15	-57	15
-18	-60	15
42	-78	39
-39	-81	30

//Maguire, 1997: routes - number repetition baseline
16	-38	0
-28	-42	-6
18	-38	-6
-14	-60	26
-20	-70	56
6	-66	62
-10	-66	40
-40	18	-26
40	-80	28
-32	-82	36
-48	-78	-24

//Maguire: successful navigation (nav1 and nav2) compared to following a trail of arrows
30	-16	-22
-28	-16	28
-24	-102	-2
-22	52	22
30	-20	-16
-16	-26	-6
-54	-30	14
-52	-50	-12
-46	22	6
6	-6	12

//Mellet, 2002: MS-Text - LAW
14	-70	52
-4	-66	50
-20	-74	48
-34	-80	30
42	-78	32
-38	-52	46
26	-64	32
26	-58	20
-28	-78	40
-18	-64	22
-26	2	50
28	-4	52

//Pine, 2002: Nav - Arrow
0	-86	-32
22	-4	-12
-52	38	2
-48	-62	-34
-8	-68	-14
8	-6	4
-4	-42	42
-32	48	34
-18	-64	-26
24	0	24
22	12	28
-4	-42	0
-38	-4	-44
22	-2	8
36	1	52
26	-48	6
22	10	14
-40	-64	-14
-54	28	24
-10	32	40
-52	28	14
-20	-70	-14
-50	24	2
-38	-48	-32
-18	14	18
14	2	48
-10	18	44

//Rosenbaum, 2004: blocked routes vs. vowel counting baseline
18	14	49
-35	3	50
25	-35	-10
-19	-42	-8
-19	-58	18
44	-70	25
-32	-84	30

//Spiers, 2006: customer-driven route planning > coasting
-30	-27	-21
27	-24	-18
-27	-30	-24
-6	-63	9
9	-63	6
0	18	60
-48	24	-6
45	24	3
60	-33	-3
-57	-21	3
3	-33	-39
0	-54	-39
48	-54	-27

//Ghaem, 1997: mental simulation of routes - mental visualization of landmarks
-14	-18	-20
-16	-70	36
-40	18	4

//Mayes, 2004: new route episodes > new word semantics
-9	51	3
21	-21	-15
-18	-42	-6
27	-39	-9
-6	-57	36
-3	-60	24
18	-63	21
